NUMBER,NAME,YEAR,FAMOUS ONE,FAMOUS TWO,FAMOUS THREE
216,Ravenous,2017,Marc-André Grondin,Monia Chokri,Micheline Lanctôt
217,Alleycats,2016,Hera Hilmar,Eleanor Tomlinson,Sam Keeley
218,Lady Bird,2017,Saoirse Ronan,Laurie Metcalf,Timothée Chalamet
219,The Art Of Racing In The Rain,2019,Amanda Seyfried,Milo Ventimiglia,Gary Cole
220,Case 39,2009,Renee Zelweeger,Callum Keith Rennie,Bradley Cooper
221,The Holiday,2006,Cameron Diaz,Kate Winslet,Jude Law
222,Low Down,2014,Elle Fanning,John Hawkes,Peter Dinklage
223,Knight And Day,2010,Tom Cruise,Cameron Diaz,Peter Sarsgaard
224,The Girl Next Door,2004,Emilie Hirsch,Elisha Cuthbert,Paul Dano
225,Bandidas,2006,Salma Hayek,Penelope Cruz,Steve Zahn
226,Somewhere,2010,Elle Fanning,Stephen Dorff,Chris Pontius
227,Before I Go To Sleep,2014,Nicole Kidman,Colin Firth,Mark Strong
228,Wind Chill,2007,Emily Blunt,Ashton Holmes,Martin Donovan
229,Captain Corelli's Mandolin,2001,Nicolas Cage,Christian Bale,Penélope Cruz
230,Broken City,2013,Russell Crowe,Mark Wahlberg,Catherine Zeta-Jones
231,Knives Out,2019,Ana De Armas,Daniel Craig,Michael Shannon
232,The Machinist,2004,Christian Bale,Aitana Sánchez-Gijón,Jennifer Jason Leigh
233,Bright,2017,Will Smith,Joel Edgerton,Noomi Rapace
234,All The Bright Places,2020,Elle Fanning,Justice Smith,Alexandra Shipp
235,200 Cigarettes,1999,Ben Affleck,Casey Affleck,Kate Hudson
236,The Last Letter from Your Lover,2021,Shailene Woodley,Callum Turner,Felicity Jones
237,Page Eight,2011,Bill Nighy,Rachel Weisz,Felicity Jones
238,Chef,2014,Jon Favreau,Scarlett Johansson,Sofía Vergara
239,Solace,2015,Anthony Hopkins,Jeffrey Dean Morgan,Abbie Cornish
240,One Life,2023,Anthony Hopkins,Lena Olin,Johnny Flynn
241,Volver,2006,Penélope Cruz,Lola Dueñas,Carmen Maura
242,When Harry Met Sally,1989,Billy Crystal,Meg Ryan,Carrie Fisher
243,Armageddon Time,2022,Anthony Hopkins,Anne Hathaway,Banks Repeta
244,Septembers of Shiraz,2015,Adrien Brody,Salma Hayek,Alon Aboutboul
245,The City of Your Final Destination,2009,Anthony Hopkins,Omar Metwally,Charlotte Gainsbourg
246,Blackway,2015,Anthony Hopkins,Ray Liotta,Julia Stiles
247,360,2011,Anthony Hopkins,Jude Law,Rachel Weisz
248,Almost Famous,2000,Kate Hudson,Billy Crudup,Patrick Fugit
249,Like Crazy,2011,Felicity Jones,Anton Yelchin,Jennifer Lawrence
250,American Dreamer,2022,Peter Dinklage,Shirley MacLaine,Matt Dillon
251,Elyse,2020,Anthony Hopkins,Lisa Pepper,Aaron Tucker
252,Collide,2016,Anthony Hopkins,Felicity Jones,Nicholas Hoult
253,An Officer and a Spy,2019,Jean Dujardin,Louis Garrel,Emmanuelle Seigner
254,Liar Liar,1997,Jim Carrey,Maura Tierney,Justin Cooper
255,Ghost World,2001,Thora Birch,Steve Buscemi,Scarlett Johansson
256,SOUR APPLES,2016,Yilmaz Erdogan,Fatih Artman,Zeynep Farah Abdullah
257,Grudge ,2021,Yilmaz Erdogan,Ahmet Mumtaz Taylan,Cem Yigit Uzumoglu
258,Hysteria,2011,Maggie Gyllenhaal,Hugh Dancy,Felicity Jones
259,Stone ,2010,Edward Norton,Robert De Niro,Milla Jovovich
260,Casino Royale,2006,Daniel Craig,Mads Mikkelsen,Eva Green
261,The Girl with the Dragon Tattoo,2011,Daniel Craig,Rooney Mara,Stellan Skarsgård
262,Quantum of Solace,2008,Daniel Craig,Olga Kurlyenko,Mathieu Amalric
263,Flashbacks of a Fool,2008,Daniel Craig,Olivia Williams,Harry Eden
264,Past Lives,2023,Greta Lee,Teo Yoo,John Magaro
265,The Invisible Woman,2013,Ralph Fiennes,Felicity Jones,Tom Hollander
266,The Salesman,2016,Shahab Hosseini,Taraneh Alidoosti,Mina Sadati
267,Layer Cake,2004,Daniel Craig,Sienna Miller,Colm Meaney
268,Chéri,2009,Michelle Pfeiffer,Rupert Friend,Kathy Bates
269,A Separation,2011,Payman Maadi,Leila Hatami,Shahab Hosseini
270,Rhino Season,2012,Behrouz Vossoughi,Monica Bellucci,Yilmaz Erdogan
271,Coming Soon,2014,Cem Yilmaz,Zafer Algoz,Ozan Guven
272,Magic Carpet Ride,2005,Yilmaz Erdogan,Tolga Cevik,Ozgu Namal
273,The Golden Compass,2007,Daniel Craig,Nicole Kidman,Dakota Blue Richards
274,The Past,2013,Bérénice Bejo,Tahar Rahim,Ali Mosaffa
275,Into the Wild,2007,Emile Hirsch,Catherine Keener,William Hurt
276,Rumours,2024,Cate Blanchett,Roy Dupuis,Denis Ménochet
277,All the King's Men,2006,Sean Penn,Jude Law,Anthony Hopkins
278,Alex & Emma,2003,Luke Wilson,Kate Hudson,Sophie Marceau
279,A Rainy Day in New York,2019,Timothée Chalamet,Elle Fanning,Selena Gomez
280,Blue Is the Warmest Colour,2013,Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche
281,Clouds of May,1999,Muzaffer Ozdemir,Mehmet Emin Toprak,Emin Ceylan
282,Garden Party,2008,Jennifer Lawrence,Vinessa Shaw,Erik Smith
283,Los amantes pasajeros,2013,Javier Cámara,Raúl Arévalo,Blanca Suárez
284,The Flowers of War,2011,Christian Bale,Ni Ni,Xinyi Zhang
285,One Day,2011,Anne Hathaway,Jim Sturgess,Patricia Clarkson
286,The Platform,2019,Ivan Massagué,Antonia San Juan,Alexandra Masangkay
287,Buster's Mal Heart,2016,Rami Malek,Kate Lyn Sheil,DJ Qualls
288,The Reader,2008,Kate Winslet,David Kross,Bruno Ganz
289,For the Moment,1993,Russell Crowe,Wanda Cannon,Christianne Hirt
290,Proof,1991,Russell Crowe,Hugo Weaving,Geneviève Picot
291,Vanilla Sky,2001,Tom Cruise,Penelope Cruz,Cameron Diaz
292,Eyes Wide Shut,1999,Tom Cruise,Nicole Kidman,Sydney Pollack
293,A Monster Calls,2016,Felicity Jones,Sigourney Weaver,Lewis MacDougall
294,Raising Helen,2004,Kate Hudson,John Corbett,Joan Cusack
295,King Lear,2018,Anthony Hopkins,Emma Thompson,Emily Watson
296,Cast Away,2000,Tom Hanks,Helen Hunt,Paul Sanchez
297,She's So Lovely,1997,Sean Penn,Robin Wright,John Travolta
298,Arrival,2016,Amy Adams,Jeremy Renner,Forest Whitaker
299,Interstellar,2014,Matthew McConaughey,Anne Hathaway,Jessica Chastain
300,Creed,2015,Sylvester Stallone,Michael B. Jordan,Tessa Thompson
